ds,y
2020-01-01,1037
2020-01-02,419
2020-01-03,464
2020-01-04,440
2020-01-05,396
2020-01-06,457
2020-01-07,409
2020-01-08,419
2020-01-09,448
2020-01-10,483
2020-01-11,443
2020-01-12,425
2020-01-13,443
2020-01-14,432
2020-01-15,501
2020-01-16,479
2020-01-17,512
2020-01-18,430
2020-01-19,457
2020-01-20,466
2020-01-21,474
2020-01-22,445
2020-01-23,471
2020-01-24,497
2020-01-25,474
2020-01-26,476
2020-01-27,469
2020-01-28,464
2020-01-29,454
2020-01-30,450
2020-01-31,533
2020-02-01,614
2020-02-02,542
2020-02-03,455
2020-02-04,448
2020-02-05,497
2020-02-06,417
2020-02-07,500
2020-02-08,493
2020-02-09,403
2020-02-10,501
2020-02-11,430
2020-02-12,457
2020-02-13,495
2020-02-14,502
2020-02-15,470
2020-02-16,443
2020-02-17,468
2020-02-18,449
2020-02-19,444
2020-02-20,433
2020-02-21,490
2020-02-22,508
2020-02-23,418
2020-02-24,461
2020-02-25,493
2020-02-26,480
2020-02-27,451
2020-02-28,486
2020-02-29,453
2020-03-01,643
2020-03-02,498
2020-03-03,458
2020-03-04,433
2020-03-05,435
2020-03-06,483
2020-03-07,408
2020-03-08,421
2020-03-09,395
2020-03-10,429
2020-03-11,471
2020-03-12,381
2020-03-13,404
2020-03-14,412
2020-03-15,471
2020-03-16,409
2020-03-17,361
2020-03-18,347
2020-03-19,315
2020-03-20,382
2020-03-21,323
2020-03-22,314
2020-03-23,365
2020-03-24,351
2020-03-25,348
2020-03-26,371
2020-03-27,398
2020-03-28,332
2020-03-29,309
2020-03-30,362
2020-03-31,356
2020-04-01,526
2020-04-02,359
2020-04-03,339
2020-04-04,360
2020-04-05,344
2020-04-06,370
2020-04-07,349
2020-04-08,315
2020-04-09,289
2020-04-10,400
2020-04-11,403
2020-04-12,355
2020-04-13,383
2020-04-14,383
2020-04-15,406
2020-04-16,406
2020-04-17,413
2020-04-18,368
2020-04-19,391
2020-04-20,440
2020-04-21,377
2020-04-22,393
2020-04-23,400
2020-04-24,412
2020-04-25,442
2020-04-26,411
2020-04-27,420
2020-04-28,432
2020-04-29,375
2020-04-30,412
2020-05-01,536
2020-05-02,402
2020-05-03,372
2020-05-04,443
2020-05-05,423
2020-05-06,432
2020-05-07,368
2020-05-08,405
2020-05-09,411
2020-05-10,402
2020-05-11,352
2020-05-12,391
2020-05-13,360
2020-05-14,399
2020-05-15,409
2020-05-16,433
2020-05-17,410
2020-05-18,416
2020-05-19,351
2020-05-20,417
2020-05-21,394
2020-05-22,409
2020-05-23,446
2020-05-24,399
2020-05-25,400
2020-05-26,396
2020-05-27,389
2020-05-28,392
2020-05-29,460
2020-05-30,522
2020-05-31,309
2020-06-01,574
2020-06-02,341
2020-06-03,348
2020-06-04,359
2020-06-05,389
2020-06-06,376
2020-06-07,353
2020-06-08,384
2020-06-09,373
2020-06-10,401
2020-06-11,438
2020-06-12,455
2020-06-13,406
2020-06-14,408
2020-06-15,465
2020-06-16,464
2020-06-17,391
2020-06-18,438
2020-06-19,436
2020-06-20,464
2020-06-21,440
2020-06-22,434
2020-06-23,409
2020-06-24,438
2020-06-25,493
2020-06-26,479
2020-06-27,400
2020-06-28,400
2020-06-29,420
2020-06-30,400
2020-07-01,535
2020-07-02,393
2020-07-03,499
2020-07-04,522
2020-07-05,436
2020-07-06,392
2020-07-07,416
2020-07-08,386
2020-07-09,371
2020-07-10,403
2020-07-11,424
2020-07-12,399
2020-07-13,466
2020-07-14,373
2020-07-15,419
2020-07-16,437
2020-07-17,390
2020-07-18,379
2020-07-19,424
2020-07-20,443
2020-07-21,416
2020-07-22,401
2020-07-23,375
2020-07-24,391
2020-07-25,383
2020-07-26,386
2020-07-27,412
2020-07-28,394
2020-07-29,401
2020-07-30,390
2020-07-31,423
2020-08-01,565
2020-08-02,396
2020-08-03,412
2020-08-04,401
2020-08-05,373
2020-08-06,427
2020-08-07,409
2020-08-08,415
2020-08-09,407
2020-08-10,350
2020-08-11,370
2020-08-12,351
2020-08-13,391
2020-08-14,441
2020-08-15,502
2020-08-16,406
2020-08-17,393
2020-08-18,390
2020-08-19,440
2020-08-20,406
2020-08-21,443
2020-08-22,458
2020-08-23,432
2020-08-24,396
2020-08-25,389
2020-08-26,376
2020-08-27,458
2020-08-28,445
2020-08-29,409
2020-08-30,362
2020-08-31,369
2020-09-01,534
2020-09-02,368
2020-09-03,381
2020-09-04,409
2020-09-05,411
2020-09-06,426
2020-09-07,403
2020-09-08,405
2020-09-09,383
2020-09-10,336
2020-09-11,390
2020-09-12,423
2020-09-13,383
2020-09-14,416
2020-09-15,414
2020-09-16,372
2020-09-17,393
2020-09-18,420
2020-09-19,387
2020-09-20,408
2020-09-21,374
2020-09-22,373
2020-09-23,393
2020-09-24,376
2020-09-25,378
2020-09-26,416
2020-09-27,420
2020-09-28,402
2020-09-29,336
2020-09-30,444
2020-10-01,576
2020-10-02,435
2020-10-03,418
2020-10-04,389
2020-10-05,398
2020-10-06,402
2020-10-07,385
2020-10-08,411
2020-10-09,445
2020-10-10,397
2020-10-11,363
2020-10-12,388
2020-10-13,375
2020-10-14,399
2020-10-15,445
2020-10-16,428
2020-10-17,409
2020-10-18,412
2020-10-19,347
2020-10-20,412
2020-10-21,351
2020-10-22,357
2020-10-23,425
2020-10-24,386
2020-10-25,365
2020-10-26,359
2020-10-27,368
2020-10-28,354
2020-10-29,356
2020-10-30,419
2020-10-31,410
2020-11-01,614
2020-11-02,409
2020-11-03,409
2020-11-04,409
2020-11-05,341
2020-11-06,387
2020-11-07,369
2020-11-08,352
2020-11-09,353
2020-11-10,337
2020-11-11,344
2020-11-12,380
2020-11-13,375
2020-11-14,403
2020-11-15,398
2020-11-16,397
2020-11-17,425
2020-11-18,391
2020-11-19,425
2020-11-20,453
2020-11-21,409
2020-11-22,366
2020-11-23,408
2020-11-24,365
2020-11-25,380
2020-11-26,381
2020-11-27,398
2020-11-28,380
2020-11-29,362
2020-11-30,384
2020-12-01,523
2020-12-02,416
2020-12-03,388
2020-12-04,377
2020-12-05,421
2020-12-06,367
2020-12-07,372
2020-12-08,359
2020-12-09,385
2020-12-10,364
2020-12-11,422
2020-12-12,357
2020-12-13,363
2020-12-14,411
2020-12-15,371
2020-12-16,332
2020-12-17,373
2020-12-18,379
2020-12-19,416
2020-12-20,403
2020-12-21,404
2020-12-22,431
2020-12-23,414
2020-12-24,386
2020-12-25,358
2020-12-26,345
2020-12-27,314
2020-12-28,325
2020-12-29,328
2020-12-30,368
2020-12-31,429
2021-01-01,800
2021-01-02,358
2021-01-03,328
2021-01-04,386
2021-01-05,390
2021-01-06,394
2021-01-07,374
2021-01-08,390
2021-01-09,366
2021-01-10,368
2021-01-11,389
2021-01-12,388
2021-01-13,407
2021-01-14,431
2021-01-15,445
2021-01-16,401
2021-01-17,401
2021-01-18,427
2021-01-19,403
2021-01-20,406
2021-01-21,421
2021-01-22,432
2021-01-23,373
2021-01-24,359
2021-01-25,388
2021-01-26,323
2021-01-27,381
2021-01-28,385
2021-01-29,360
2021-01-30,410
2021-01-31,388
2021-02-01,513
2021-02-02,396
2021-02-03,426
2021-02-04,382
2021-02-05,412
2021-02-06,420
2021-02-07,411
2021-02-08,397
2021-02-09,355
2021-02-10,358
2021-02-11,354
2021-02-12,407
2021-02-13,446
2021-02-14,412
2021-02-15,404
2021-02-16,414
2021-02-17,403
2021-02-18,391
2021-02-19,387
2021-02-20,434
2021-02-21,429
2021-02-22,419
2021-02-23,409
2021-02-24,396
2021-02-25,398
2021-02-26,458
2021-02-27,442
2021-02-28,409
2021-03-01,597
2021-03-02,401
2021-03-03,361
2021-03-04,364
2021-03-05,374
2021-03-06,431
2021-03-07,390
2021-03-08,367
2021-03-09,364
2021-03-10,408
2021-03-11,374
2021-03-12,403
2021-03-13,431
2021-03-14,340
2021-03-15,372
2021-03-16,373
2021-03-17,375
2021-03-18,422
2021-03-19,411
2021-03-20,422
2021-03-21,446
2021-03-22,393
2021-03-23,389
2021-03-24,429
2021-03-25,367
2021-03-26,438
2021-03-27,404
2021-03-28,394
2021-03-29,447
2021-03-30,380
2021-03-31,384
2021-04-01,528
2021-04-02,417
2021-04-03,418
2021-04-04,420
2021-04-05,432
2021-04-06,390
2021-04-07,373
2021-04-08,387
2021-04-09,395
2021-04-10,444
2021-04-11,390
2021-04-12,430
2021-04-13,400
2021-04-14,362
2021-04-15,416
2021-04-16,400
2021-04-17,438
2021-04-18,441
2021-04-19,444
2021-04-20,375
2021-04-21,374
2021-04-22,383
2021-04-23,387
2021-04-24,397
2021-04-25,417
2021-04-26,432
2021-04-27,346
2021-04-28,372
2021-04-29,424
2021-04-30,436
2021-05-01,554
2021-05-02,416
2021-05-03,451
2021-05-04,414
2021-05-05,445
2021-05-06,417
2021-05-07,407
2021-05-08,451
2021-05-09,426
2021-05-10,458
2021-05-11,382
2021-05-12,402
2021-05-13,430
2021-05-14,407
2021-05-15,439
2021-05-16,404
2021-05-17,442
2021-05-18,395
2021-05-19,397
2021-05-20,430
2021-05-21,398
2021-05-22,357
2021-05-23,400
2021-05-24,462
2021-05-25,421
2021-05-26,365
2021-05-27,402
2021-05-28,449
2021-05-29,407
2021-05-30,434
2021-05-31,413
2021-06-01,570
2021-06-02,405
2021-06-03,414
2021-06-04,399
2021-06-05,426
2021-06-06,475
2021-06-07,419
2021-06-08,405
2021-06-09,391
2021-06-10,442
2021-06-11,474
2021-06-12,456
2021-06-13,395
2021-06-14,418
2021-06-15,447
2021-06-16,429
2021-06-17,440
2021-06-18,523
2021-06-19,445
2021-06-20,512
2021-06-21,495
2021-06-22,414
2021-06-23,373
2021-06-24,400
2021-06-25,458
2021-06-26,457
2021-06-27,446
2021-06-28,432
2021-06-29,392
2021-06-30,444
2021-07-01,584
2021-07-02,505
2021-07-03,506
2021-07-04,538
2021-07-05,522
2021-07-06,412
2021-07-07,477
2021-07-08,443
2021-07-09,453
2021-07-10,495
2021-07-11,452
2021-07-12,448
2021-07-13,484
2021-07-14,459
2021-07-15,492
2021-07-16,473
2021-07-17,472
2021-07-18,458
2021-07-19,445
2021-07-20,435
2021-07-21,468
2021-07-22,486
2021-07-23,501
2021-07-24,478
2021-07-25,446
2021-07-26,465
2021-07-27,423
2021-07-28,437
2021-07-29,402
2021-07-30,435
2021-07-31,469
2021-08-01,577
2021-08-02,491
2021-08-03,428
2021-08-04,466
2021-08-05,438
2021-08-06,450
2021-08-07,457
2021-08-08,481
2021-08-09,433
2021-08-10,417
2021-08-11,394
2021-08-12,452
2021-08-13,414
2021-08-14,449
2021-08-15,479
2021-08-16,504
2021-08-17,394
2021-08-18,416
2021-08-19,393
2021-08-20,450
2021-08-21,516
2021-08-22,464
2021-08-23,473
2021-08-24,416
2021-08-25,434
